season,week,n_bets,wins,losses,pushes,staked_units,profit_units,roi,win_rate
2024,1,861.0,490.0,371.0,0.0,861.0,74.45454545454545,0.08647450110864745,0.5691056910569106
2024,2,856.0,508.0,348.0,0.0,856.0,113.81818181818181,0.13296516567544606,0.5934579439252337
2024,3,877.0,481.0,396.0,0.0,877.0,41.27272727272728,0.04706126256867421,0.548460661345496
2024,4,894.0,520.0,374.0,0.0,894.0,98.72727272727272,0.1104331909701037,0.5816554809843401
2024,5,816.0,472.0,344.0,0.0,816.0,85.0909090909091,0.10427807486631016,0.5784313725490197
2024,6,831.0,492.0,339.0,0.0,831.0,108.27272727272725,0.13029209058089922,0.592057761732852
2024,7,916.0,530.0,386.0,0.0,916.0,95.81818181818181,0.10460500198491464,0.5786026200873362
2024,8,972.0,540.0,432.0,0.0,972.0,58.909090909090914,0.06060606060606061,0.5555555555555556
2024,9,899.0,514.0,385.0,0.0,899.0,82.27272727272728,0.09151582566488017,0.5717463848720801
2024,10,822.0,483.0,339.0,0.0,822.0,100.0909090909091,0.12176509621765097,0.5875912408759124
2024,11,866.0,500.0,366.0,0.0,866.0,88.54545454545455,0.10224648330883897,0.5773672055427251
2024,12,806.0,438.0,368.0,0.0,806.0,30.18181818181818,0.037446424543198735,0.543424317617866
2024,13,967.0,538.0,429.0,0.0,967.0,60.09090909090909,0.062141581272915296,0.5563598759048604
2024,14,816.0,456.0,360.0,0.0,816.0,54.54545454545455,0.06684491978609626,0.5588235294117647
2024,15,1013.0,597.0,416.0,0.0,1013.0,126.72727272727273,0.12510096024409945,0.5893385982230998
2024,16,960.0,562.0,398.0,0.0,960.0,112.9090909090909,0.11761363636363636,0.5854166666666667
2024,17,1010.0,582.0,428.0,0.0,1010.0,101.0909090909091,0.1000900090009001,0.5762376237623762
2024,18,947.0,558.0,389.0,0.0,947.0,118.27272727272727,0.12489200345588941,0.5892291446673706
2024,19,357.0,232.0,125.0,0.0,357.0,85.9090909090909,0.24064171122994651,0.6498599439775911
2024,20,251.0,140.0,111.0,0.0,251.0,16.272727272727273,0.06483158275986961,0.5577689243027888
2024,21,131.0,70.0,61.0,0.0,131.0,2.6363636363636367,0.02012491325468425,0.5343511450381679
2024,22,67.0,36.0,31.0,0.0,67.0,1.7272727272727284,0.025780189959294455,0.5373134328358209
