player,pos,stat,strike,mkt_p,model_p,model_mean,trailing
Bo Nix,QB,passing_tds,1.5,0.445,0.35877700878864643,1.2595386636878834,1.25
Bo Nix,QB,passing_yards,224.5,0.48,0.4,219.15209767834045,183.25
Blake Corum,RB,rushing_yards,39.5,0.565,0.319922311510038,31.637353949674356,43.25
Roman Wilson,WR,receiving_yards,24.5,0.51,0.3829468970424531,23.40220240803071,10.75
Roman Wilson,WR,receptions,1.5,0.605,0.383,1.611,1.0
AJ Barner,TE,receiving_yards,14.5,0.565,0.6451234947909144,22.384230120087928,20.0
AJ Barner,TE,receptions,2.5,0.485,0.174,1.8970000000000002,2.0
Braelon Allen,RB,rushing_yards,24.5,0.49,0.34454524501854245,26.15893570014908,26.75
MarShawn Lloyd,RB,carries,14.5,0.45999999999999996,0.04689112564902227,7.8801454030544384,9.5
MarShawn Lloyd,RB,receiving_yards,9.5,0.345,0.4389636386008322,9.83783591456574,1.5
MarShawn Lloyd,RB,receptions,1.5,0.375,0.3492263700467461,1.2328902435058076,0.5
MarShawn Lloyd,RB,rushing_yards,49.5,0.495,0.1399272837718345,30.36254888884896,26.0
Marvin Harrison Jr.,WR,receiving_yards,34.5,0.505,0.29483386444535875,26.738845511129036,29.0
Marvin Harrison Jr.,WR,receptions,2.5,0.5900000000000001,0.189,1.946,2.0
Drake Maye,QB,attempts,29.5,0.515,0.4819627799587154,30.182259581460343,31.0
Drake Maye,QB,completions,20.5,0.5,0.37574075469524965,18.913953718667443,19.0
Drake Maye,QB,passing_tds,1.5,0.44,0.3235545457367442,1.161883121201448,1.5
Drake Maye,QB,passing_yards,224.5,0.515,0.353,211.5625553392627,184.5
Drake Maye,QB,rushing_yards,24.5,0.545,0.6633879933014403,35.619395639581164,39.75
Ray Davis,RB,rushing_yards,9.5,0.42500000000000004,1.0,19.739695111550162,38.5
Malik Washington,WR,receiving_yards,24.5,0.5800000000000001,0.5004029060329122,36.418746949076485,21.5
Malik Washington,WR,receptions,3.5,0.475,0.226,2.89,2.0
Adonai Mitchell,WR,receiving_yards,24.5,0.5800000000000001,0.6344625539086434,45.64472647779045,31.25
Adonai Mitchell,WR,receptions,2.5,0.53,0.406,2.84,2.25
Xavier Worthy,WR,receiving_yards,39.5,0.43,0.3097694381593006,35.95542689779857,23.5
Keon Coleman,WR,receiving_yards,14.5,0.485,0.5223488005852834,25.777049747296306,24.0
Keon Coleman,WR,receptions,1.5,0.395,0.454,1.9280000000000004,1.25
Jayden Daniels,QB,attempts,29.5,0.515,0.3481280075553755,26.62903678991441,24.5
Jayden Daniels,QB,completions,19.5,0.505,0.3247418516385225,17.06467502197591,13.75
Jayden Daniels,QB,passing_tds,1.5,0.4,0.3239688858701844,1.1630229209072214,0.75
Jayden Daniels,QB,passing_yards,224.5,0.45499999999999996,0.197,176.03205066174775,137.75
Jayden Daniels,QB,rushing_yards,39.5,0.45999999999999996,0.05818653423522608,19.606016733770176,33.25
Caleb Williams,QB,attempts,30.5,0.525,0.6267340104340134,35.94266729952396,38.0
Caleb Williams,QB,completions,19.5,0.485,0.5875363470135397,22.35272774325127,22.0
Caleb Williams,QB,passing_tds,1.5,0.54,0.5017940249870313,1.7451719532404368,2.0
Caleb Williams,QB,passing_yards,224.5,0.535,0.58,265.17598606925014,274.75
Caleb Williams,QB,rushing_yards,24.5,0.47000000000000003,0.3401598110589039,21.63600780828016,31.5
Rome Odunze,WR,receiving_yards,39.5,0.495,0.3407953911192093,37.097869739359986,37.0
Rome Odunze,WR,receptions,2.5,0.535,0.39,2.646,2.0
Ashton Jeanty,RB,carries,16.5,0.525,0.7258385163425204,23.723956277499504,22.25
Ashton Jeanty,RB,receiving_yards,24.5,0.525,0.29188725741212124,19.94416970581521,31.25
Ashton Jeanty,RB,receptions,3.5,0.585,0.29987188226977357,2.751023574184436,3.0
Ashton Jeanty,RB,rushing_yards,59.5,0.525,0.5903459771285287,100.40221920696678,94.25
Tetairoa McMillan,WR,receiving_yards,59.5,0.48,0.29816932170199284,49.08244865122903,61.5
Tetairoa McMillan,WR,receptions,4.5,0.475,0.134,2.976,3.75
Colston Loveland,TE,receiving_yards,49.5,0.46499999999999997,0.4970022656075831,71.1315736623919,71.0
Colston Loveland,TE,receptions,4.5,0.445,0.564,5.814,5.5
Tyler Warren,TE,receiving_yards,39.5,0.5,0.379529508337893,40.53500553588936,28.0
Emeka Egbuka,WR,receiving_yards,49.5,0.495,0.19431922382098166,33.5336650120026,32.75
Emeka Egbuka,WR,receptions,3.5,0.555,0.168,2.37,2.5
Pat Bryant,WR,receptions,3.5,0.4,0.201,2.728,3.0
Jaylin Noel,WR,receiving_yards,24.5,0.465,0.10100555713960291,19.324453469873355,16.5
Jaylin Noel,WR,receptions,2.5,0.505,0.117,1.407,0.75
Kyle Monangai,RB,rushing_yards,39.5,0.45,0.3522840855019823,30.92062060227905,44.25
Jacory Croskey-Merritt,RB,carries,13.5,0.485,0.22583912569392553,10.283292637428556,12.0
Jacory Croskey-Merritt,RB,rushing_yards,49.5,0.51,0.39771791271588186,44.51288414280273,55.5
Woody Marks,RB,receptions,1.5,0.46499999999999997,0.4956649398888412,1.664549388206189,1.25
Woody Marks,RB,rushing_yards,24.5,0.49,0.831094982409053,39.979445572484074,54.75
Gunnar Helm,TE,receiving_yards,24.5,0.45499999999999996,0.4464404062630777,27.054822931966747,21.75
Gunnar Helm,TE,receptions,2.5,0.59,0.402,2.636,2.75
Harold Fannin Jr.,TE,receiving_yards,24.5,0.605,0.6281212074377913,52.58340377031949,33.25
Harold Fannin Jr.,TE,receptions,3.5,0.55,0.564,4.528,3.75
Omarion Hampton,RB,carries,16.5,0.475,0.09997269289063676,10.264898652580499,10.75
Omarion Hampton,RB,receiving_yards,14.5,0.33499999999999996,0.365716539833568,13.341790774894978,10.25
Omarion Hampton,RB,receptions,1.5,0.575,0.5291331855209233,1.7731716686839079,2.25
Omarion Hampton,RB,rushing_yards,59.5,0.525,0.2138681887273418,42.11199602707045,39.0
Matthew Golden,WR,receiving_yards,49.5,0.495,0.3376608019558619,41.51638193468516,49.75
Matthew Golden,WR,receptions,3.5,0.565,0.339,3.117,3.0
Isaac TeSlaa,WR,receiving_yards,14.5,0.535,0.8309665126298138,25.364397492307134,29.75
Isaac TeSlaa,WR,receptions,1.5,0.495,0.446,1.966,2.0
Cam Ward,QB,attempts,32.5,0.48,0.415615601151736,31.276644303561792,25.75
Cam Ward,QB,completions,18.5,0.49,0.524703777039755,19.833086800810623,16.0
Cam Ward,QB,passing_tds,0.5,0.615,0.724562154553126,1.2893932822055458,1.25
Cam Ward,QB,passing_yards,174.5,0.565,0.609,212.0453453612521,167.75
Cam Ward,QB,rushing_yards,9.5,0.5549999999999999,0.6313989019705801,13.067406867264834,12.75
Jaxson Dart,QB,passing_tds,1.5,0.33,0.3626396188740966,1.2703572212255327,1.25
Jaxson Dart,QB,passing_yards,199.5,0.585,0.522,219.83600896869578,175.0
Jaxson Dart,QB,rushing_yards,29.5,0.51,0.295960356566286,24.348854687454654,35.25
Cam Skattebo,RB,rushing_yards,49.5,0.505,0.5099664152417919,45.60475462553417,62.75
Bhayshul Tuten,RB,carries,11.5,0.535,0.15537470767382708,7.900205638880337,6.25
Bhayshul Tuten,RB,receptions,1.5,0.45499999999999996,0.3726807710277621,1.2985999517680873,0.5
Bhayshul Tuten,RB,rushing_yards,49.5,0.49,0.13762263077283754,33.66095340772462,36.75
TreVeyon Henderson,RB,rushing_yards,29.5,0.5549999999999999,0.21011555545390692,22.48449268047873,19.0
Luther Burden III,WR,receiving_yards,49.5,0.525,0.21504361778108394,35.658808189324304,41.0
Luther Burden III,WR,receptions,4.5,0.44,0.174,3.125,3.5
Mason Taylor,TE,receiving_yards,14.5,0.56,0.8393661848436893,32.06717325453896,22.75
Mason Taylor,TE,receptions,2.5,0.48,0.451,3.023,3.0
Tyler Shough,QB,attempts,34.5,0.52,0.5177970914238127,36.53651967314244,41.75
Tyler Shough,QB,completions,21.5,0.51,0.5773857662525348,24.392388909600026,28.0
Tyler Shough,QB,passing_tds,1.5,0.335,0.4815345390678297,1.657524774998491,1.75
Tyler Shough,QB,passing_yards,224.5,0.555,0.592,267.2518041152848,327.5
Quinshon Judkins,RB,carries,14.5,0.45999999999999996,0.14408781990645958,9.787345118149409,11.5
Quinshon Judkins,RB,rushing_yards,49.5,0.43,0.21974209104547626,36.91261901055605,25.5
Mike Washington Jr.,RB,rushing_yards,19.5,0.49,0.7166814424884176,26.05990096030127,41.0
Jeremiyah Love,RB,carries,9.5,0.515,0.44789190748833324,9.427159225827149,11.0
Jeremiyah Love,RB,receiving_yards,14.5,0.505,0.509048862058987,16.831796836345966,9.0
Jeremiyah Love,RB,receptions,2.5,0.495,0.36526801824931615,2.1552647161592047,2.0
Jeremiyah Love,RB,rushing_yards,29.5,0.575,0.6615132658061446,36.48601220151456,41.0
Kenyon Sadiq,TE,receiving_yards,14.5,0.575,0.7559959701328988,28.410779861478662,21.0
Kenyon Sadiq,TE,receptions,2.5,0.47,0.443,3.013,3.0
Denzel Boston,WR,receiving_yards,24.5,0.535,0.7245307625698091,50.95946037775755,59.0
Denzel Boston,WR,receptions,2.5,0.52,0.389,2.598,2.0
Antonio Williams,WR,receiving_yards,24.5,0.51,0.7267192823307485,41.949585020103534,64.0
Antonio Williams,WR,receptions,2.5,0.44,0.632,3.525000000000001,4.0
Kaelon Black,RB,carries,9.5,0.46499999999999997,0.7828434345161821,15.06924926752837,14.0
Kaelon Black,RB,rushing_yards,29.5,0.64,0.7563656224996976,66.13519820939351,65.0
Carnell Tate,WR,receiving_yards,39.5,0.505,0.4669876797716008,46.451168640953064,38.0
Carnell Tate,WR,receptions,3.5,0.525,0.365,3.463,4.0
Jadarian Price,RB,carries,14.5,0.43999999999999995,0.08435526900445228,8.724866356105412,10.0
Jadarian Price,RB,rushing_yards,59.5,0.43,0.18245142312654128,37.672591903031105,52.0
Caleb Douglas,WR,receiving_yards,39.5,0.48,0.6213215984760971,58.67298823956627,94.0
Caleb Douglas,WR,receptions,2.5,0.59,0.866,4.584,5.0
Chris Bell,WR,receiving_yards,19.5,0.5,0.40064446181676483,26.01095528793127,25.0
Chris Bell,WR,receptions,1.5,0.55,0.44,1.898,1.0
